OrderID,Date,Region,Product,Category,SalesAmount,UnitsSold,SalesRep
1001,13-02-2024,West,Laptop,Electronics,3809.61,3,Matthew Craig
1002,23-11-2024,South,Tablet,Electronics,663.08,1,Robert Thompson
1003,03-10-2024,South,Laptop,Electronics,12850.96,8,Tonya Ross
1004,28-09-2024,South,Monitor,Electronics,1608.12,9,Jason Ortiz
1005,22-05-2024,North,Tablet,Electronics,3913.5,6,Victor Marshall
1006,23-10-2024,North,Printer,Electronics,1708.7,10,Noah Smith
1007,23-09-2024,West,Cabinet,Furniture,3105.1,10,Eric Harrington
1008,18-01-2024,South,Desk,Furniture,5960.24,8,Johnathan Hall
1009,07-06-2024,East,Bookshelf,Furniture,2702.94,6,Daniel Tate
1010,06-10-2024,North,Laptop,Electronics,4858.11,3,Anthony Sosa
1011,01-01-2024,East,Printer,Electronics,654.3,3,Jeffrey Macias
1012,03-02-2024,North,Desk,Furniture,532.24,1,Wendy Owens
1013,20-03-2024,East,Tablet,Electronics,2925.66,6,Dominic Jones
1014,05-01-2024,North,Chair,Furniture,731.61,3,Nicholas Perez
1015,12-11-2024,North,Sofa,Furniture,4726.14,3,Zachary Brown
1016,14-05-2024,South,Printer,Electronics,718,5,Robin Mann
1017,16-08-2024,South,Desk,Furniture,5689.6,8,Phillip Young
1018,23-11-2024,East,Desk,Furniture,216.3,1,Breanna Jones
1019,08-05-2024,North,Sofa,Furniture,5513.34,3,Monique Archer
1020,23-04-2024,East,Tablet,Electronics,793.08,2,Jennifer Arroyo
1021,04-03-2024,North,Bookshelf,Furniture,639.9,2,Catherine Carr
1022,27-10-2024,South,Phone,Electronics,6297.9,7,Claire Fowler
1023,02-11-2024,East,Desk,Furniture,2225.25,5,Susan Hart
1024,08-04-2024,West,Printer,Electronics,2038.75,7,David Sawyer
1025,15-01-2024,West,Printer,Electronics,2070.88,7,Mark Smith
1026,13-02-2024,North,Sofa,Furniture,1724.15,1,Karla Chapman
